"Country.Code","City","Location","Latitude","Longitude","Pollutant","Source.Name","Unit","Value","Last.Updated","Country.Label"
"FR","PORT-JÉRÔME-SUR-SEINE","NDGravenchon Pasteur",49.4933319998027,0.571853000282018,"NO","eea","µg/m³",2,"2024-03-11T10:00:00+01:00","France"
"FR","ROYAT","Royat Périurbaine",45.7641099997366,3.04611099982223,"NO2","eea","µg/m³",2.8,"2024-09-16T14:00:00+02:00","France"
"FR","MOULINS","Moulins Centre",46.5619739999054,3.34063890024972,"NO2","eea","µg/m³",3.6,"2024-09-16T14:00:00+02:00","France"
"FR","AGDE","Agathois-piscénois",43.2874999999812,3.50483999989313,"NO","eea","µg/m³",0.4,"2024-03-11T10:00:00+01:00","France"
"FR","AVIGNON","AVIGNON   MAIRIE",43.9496729999063,4.80434099984507,"PM10","eea","µg/m³",24.5,"2024-09-16T14:00:00+02:00","France"
"FR","MONTPELLIER","Montpellier Prés d'Arènes",43.5915000003243,3.88680999990834,"NO2","eea","µg/m³",3.9,"2024-09-16T14:00:00+02:00","France"
"FR","POITIERS","Poitiers Centre  Augouard",46.5839999999289,0.34558200029356,"PM10","eea","µg/m³",10.9,"2024-09-16T14:00:00+02:00","France"
"FR","POITIERS","Poitiers Centre  Augouard",46.5839999999289,0.34558200029356,"NO2","eea","µg/m³",8.7,"2024-09-16T14:00:00+02:00","France"
"FR","LE TAMPON","Station Bourg-Murat",-21.2048149996145,55.5826200003951,"SO2","eea","µg/m³",1.4,"2024-09-16T08:00:00+02:00","France"
"FR","ÉPINAL","Epinal",48.1727800002807,6.45281099995298,"PM10","eea","µg/m³",17.3,"2024-07-30T13:00:00+02:00","France"
"FR","PARIS 8E ARRONDISSEMENT","Av Champs Elysees",48.8688899999167,2.3119439997973,"PM2.5","eea","µg/m³",16,"2024-07-30T09:00:00+02:00","France"
"FR","VITRY-LE-FRANÇOIS","Capitainerie",48.7266000002082,4.59478099976097,"NO2","eea","µg/m³",2.2,"2024-07-23T13:00:00+02:00","France"
"FR","PARIS 15E ARRONDISSEMENT","PARIS Stade Lenglen",48.8303869997457,2.26988899966535,"NO2","eea","µg/m³",-1,"2024-05-25T00:00:00+02:00","France"
"FR","PARIS 15E ARRONDISSEMENT","PARIS Stade Lenglen",48.8303869997457,2.26988899966535,"PM10","eea","µg/m³",-1,"2024-05-25T00:00:00+02:00","France"
"FR","ATMO NOUVELLE-AQUITAINE","NET-FR058A",43.310833,-0.391111,"SO2","EEA France","µg/m³",0.8,"2019-01-14T10:00:00+01:00","France"
"FR","ATMO NORMANDIE","NET-FR069A",49.40052,1.098825,"NO2","EEA France","µg/m³",30.2,"2024-03-04T08:00:00+01:00","France"
"FR","ATMO OCCITANIE","NET-FR068A",43.096943,-0.038889,"NO","EEA France","µg/m³",1.4,"2024-03-04T08:00:00+01:00","France"
"FR","ATMO NOUVELLE-AQUITAINE","NET-FR058A",46.58389,0.345556,"NO","EEA France","µg/m³",88.1,"2024-03-04T08:00:00+01:00","France"
"FR","ATMO OCCITANIE","NET-FR068A",43.695366,3.800817,"PM10","EEA France","µg/m³",13.7,"2019-06-04T05:00:00+02:00","France"
"FR","ATMO OCCITANIE","NET-FR068A",43.58722,1.443889,"PM10","EEA France","µg/m³",4.5,"2024-03-04T08:00:00+01:00","France"
"FR","ATMO OCCITANIE","NET-FR068A",43.611668,3.864722,"NO","EEA France","µg/m³",4.8,"2024-03-04T08:00:00+01:00","France"
"FR","ATMO NOUVELLE-AQUITAINE","NET-FR058A",43.47972,-1.488056,"NO","EEA France","µg/m³",3.6,"2024-03-04T08:00:00+01:00","France"
"FR","ATMO NOUVELLE-AQUITAINE","NET-FR058A",44.900276,-0.514722,"PM2.5","EEA France","µg/m³",5.1,"2024-03-04T08:00:00+01:00","France"
"FR","Nièvre","FR26012",47.2750173101874,4.09832992182145,"PM10","EEA France","µg/m³",3.2,"2024-01-29T17:00:00+01:00","France"
"FR","Bouches-du-Rhône","FR03032",43.2947895081236,5.57173766768144,"NO","EEA France","µg/m³",2.7,"2024-01-29T18:00:00+01:00","France"
"FR","Ille-et-Vilaine","FR19007",48.1075139513805,-1.67916686168757,"NO","EEA France","µg/m³",7.3,"2024-01-29T18:00:00+01:00","France"
"FR","Alpes-Maritimes","FR24023",43.7933622306242,7.33139357882613,"PM10","EEA France","µg/m³",47,"2024-01-29T18:00:00+01:00","France"
